item_id,quality,level,trait,variant,avg,max,min,entry_count,amount_count,suggested_price,sale_avg,sale_entry_count,sale_amount_count
10,2,210,10,3,533.33,600,400,3,3,,,,
10,2,210,11,3,180,180,180,1,1,,,,
10,2,210,3,3,1593.5,2222,965,2,2,,,,
10,2,210,8,3,704,1000,260,5,5,,,,
10,2,210,9,3,450,500,350,3,3,,,,
10,3,210,10,3,4500,5000,4000,2,2,,,,
10,3,210,11,3,3000,3000,3000,1,1,,,,
10,3,210,13,3,4599.33,6999,1999,3,3,,,,
10,3,210,3,3,1222,1222,1222,1,1,,,,
10,3,210,8,3,500,500,500,2,2,,,,
10,3,210,9,3,1500,1500,1500,1,1,,,,
10001,1,210,18,,1504.33,6666,144,12,12,403.92,,,
10001,2,210,18,,556.19,2000,250,16,16,286.2,288,4,4
10001,2,25,18,,456,456,456,1,1,,,,
10001,3,120,18,,300,300,300,1,1,,,,
10001,3,210,18,,7781.27,30000,810,15,15,916.65,,,
10001,4,210,18,,87500,100000,50000,4,4,,,,
10003,4,210,3,,60000,60000,60000,1,1,,,,
10004,2,210,19,,900,900,900,1,1,,,,
10005,1,210,1,,410,450,390,3,3,,,,
10006,1,210,13,4,437,700,174,2,2,,,,
10006,1,210,3,4,490,490,490,1,1,,,,
10006,2,210,10,4,800,800,800,1,1,,,,
10006,2,210,3,4,180,180,180,1,1,,,,
10006,2,210,5,4,1890,1890,1890,2,2,,,,
10006,2,210,8,4,400,400,400,2,2,,,,
10006,3,210,10,4,1000,1000,1000,1,1,,,,
10006,3,210,11,4,2183,2183,2183,1,1,,,,
10006,3,210,12,4,1000,1000,1000,1,1,,,,
10006,3,210,13,4,1899,1899,1899,1,1,,,,
10006,3,210,5,4,250,250,250,1,1,,,,
10007,3,1,-1,,15028,22000,10000,12,12,10880.82,13510.67,15,15
10008,1,210,17,,629.29,1500,120,7,7,,,,
10008,1,210,18,,304.14,500,124,7,7,,172,2,2
10008,1,210,19,,634.78,1000,100,9,9,,,,
10008,2,160,17,,965.67,1199,499,3,3,,,,
10008,2,20,18,,169,169,169,1,1,,,,
10008,2,210,17,,530.17,3900,90,59,59,277.76,247.09,11,11
10008,2,210,18,,666.47,3150,191,70,70,322.59,319.27,15,15
10008,2,210,19,,357.34,699,140,44,44,261.35,286,6,6
10008,2,210,24,,664.74,2100,130,23,23,162.9,169.89,9,9
10008,2,26,19,,150,150,150,1,1,,,,
10008,2,48,24,,111,111,111,1,1,,111,1,1
10008,3,210,17,,1915.12,5500,700,26,26,800.02,855.44,9,9
10008,3,210,18,,1710.49,33333,500,113,113,725.63,698.67,42,42
10008,3,210,19,,2325.57,9999,500,14,14,771.84,770,7,7
10008,4,210,18,,146200,149000,135000,5,5,,,,
10008,4,210,19,,126703.3,149000,115555,3,3,,,,
1001,2,210,-1,,251.11,1030,30,28,28,127.15,172.5,12,12
1001,3,210,-1,,541.79,2999,350,117,117,329.4,423.95,75,75
1001,4,210,-1,,31162.82,900000,1200,360,360,1954.23,2416.06,192,192
10010,1,210,17,,227.71,267,100,7,7,,190.25,4,4
