item_id,quality,level,trait,variant,avg,max,min,entry_count,amount_count,suggested_price,sale_avg,sale_entry_count,sale_amount_count
1,0,3,-1,6|21,283.35,283.345,283.345,1,200,,,,
10,1,210,11,3,10629.6,17400,4000,5,5,,,,
10,1,210,8,3,1100,1100,1100,1,1,,,,
10,2,210,11,3,1466.67,2000,1200,3,3,,,,
10,2,210,12,3,1672.5,2111,1234,2,2,,,,
10,2,210,3,3,2244.67,5000,234,3,3,,,,
10,2,210,5,3,1170,2000,180,4,4,,,,
10,2,210,8,3,1300,1300,1300,2,2,,,,
10,3,210,11,3,1800,1800,1800,1,1,,,,
10,3,210,12,3,2000,2000,2000,1,1,,,,
10,3,210,13,3,12500,15000,10000,2,2,,,,
10,3,210,3,3,5061,7500,183,3,3,,,,
10,3,210,5,3,4998,4998,4998,2,2,,,,
10,3,210,8,3,1166,1500,999,3,3,,,,
10001,1,210,18,,472.56,1200,144,18,18,225.13,203.86,7,7
10001,1,38,18,,596,596,596,1,1,,,,
10001,2,210,18,,682.96,2275,150,28,28,390.52,375,8,8
10001,2,28,18,,84,84,84,1,1,,,,
10001,3,210,18,,5625,8000,800,6,6,,1140,5,5
10001,4,210,18,,49166.67,50000,45000,6,6,,,,
10006,1,210,11,4,1499,1499,1499,1,1,,,,
10006,1,210,9,4,174,174,174,1,1,,,,
10006,2,210,10,4,700,700,700,1,1,,,,
10006,2,210,11,4,899,899,899,1,1,,,,
10006,2,210,13,4,2500,2500,2500,1,1,,,,
10007,3,1,-1,,15418.38,24000,9999,13,13,11994.3,14217.54,13,13
10008,1,210,17,,1163.67,3000,144,3,3,,172,2,2
10008,1,210,18,,601,1200,222,16,16,287.85,,,
10008,1,210,19,,468.29,750,144,7,7,,,,
10008,1,47,18,,408,408,408,1,1,,,,
10008,1,9,18,,40,40,40,2,2,,,,
10008,2,18,18,,320,320,320,1,1,,,,
10008,2,210,17,,559.62,2500,150,52,52,361.93,394.14,7,7
10008,2,210,18,,827.58,3912,150,69,69,339.57,327.25,8,8
10008,2,210,19,,725.11,3000,150,28,28,417.6,392.63,8,8
10008,2,210,24,,462.53,1500,150,15,15,164.7,226.67,9,9
10008,2,36,24,,96,96,96,1,1,,96,1,1
10008,2,47,17,,1111,1111,1111,1,1,,,,
10008,3,210,17,,1616.06,4500,153,16,16,943.8,1108,15,15
10008,3,210,18,,2405.48,16000,500,67,67,931.36,1043.9,29,29
10008,3,210,19,,3199.67,10000,999,27,27,1075.5,1171.4,15,15
10008,4,210,17,,88333.33,255000,5000,3,3,,,,
10008,4,210,18,,80000,155000,5000,2,2,,,,
1001,2,210,-1,,261.95,500,120,19,19,169.76,191.82,11,11
1001,3,210,-1,,2935.34,3500,775,74,74,2509.76,2421.74,23,23
1001,4,210,-1,,6513.9,15030,3000,247,247,5327.81,6003.84,167,167
10010,1,210,17,,291,399,200,4,4,,,,
10010,2,210,17,,730.67,1500,295,3,3,,211.25,4,4
10010,3,210,17,,750,1000,500,2,2,,900,3,3
10010,4,210,17,,90000,90000,90000,1,1,,,,
10011,1,210,11,3,2890,2890,2890,1,1,,,,
10014,1,210,10,2,587,587,587,1,1,,,,
10014,1,210,11,2,8700,8700,8700,1,1,,,,
10014,1,210,12,2,555,555,555,1,1,,,,
10014,1,210,3,2,111,111,111,1,1,,,,
10014,1,210,5,2,1874.5,1999,1750,2,2,,,,
10014,2,210,13,2,2833,5000,1500,3,3,,1800,1,1
10014,2,210,3,2,2050,3500,600,2,2,,600,1,1
10014,2,210,5,2,1000,1000,1000,1,1,,,,
10014,2,210,8,2,825,1800,500,4,4,,,,
10014,3,210,10,2,1500,1500,1500,3,3,,,,
10014,3,210,3,2,1000,1000,1000,2,2,,,,
10014,3,210,5,2,2615,4500,888,5,5,,,,
10014,3,210,8,2,1000,1000,1000,1,1,,,,
10015,1,210,17,,775,775,775,1,1,,,,
10015,1,210,18,,550,750,400,3,3,,,,
10015,1,210,19,,259.8,499,200,5,5,,,,
10015,2,210,17,,1640.62,10000,300,21,21,442.69,424.5,2,2
10015,2,210,18,,1023.96,16000,145,49,49,318.69,164.29,7,7
10015,2,210,19,,806.85,2500,150,27,27,391.14,260,4,4
10015,2,22,18,,78,78,78,1,1,,,,
10015,2,27,18,,1295,1295,1295,1,1,,,,
10015,2,3,18,,150,150,150,1,1,,,,
10015,2,33,18,,5999,5999,5999,1,1,,,,
10015,2,4,18,,335.4,359,300,5,5,,,,
10015,3,210,17,,3675.5,10000,750,8,8,,1435,3,3
10015,3,210,18,,1905.74,10000,450,46,46,948.03,1174.8,30,30
10015,3,210,19,,2339.44,5000,1000,9,9,,1265.5,6,6
10015,3,44,19,,4111,4111,4111,1,1,,,,
10015,3,45,17,,7111,7111,7111,1,1,,,,
10015,4,210,17,,600000,1470000,140000,3,3,,,,
10015,4,210,18,,190000,190000,190000,1,1,,,,
10015,4,210,19,,404000,1470000,80000,5,5,,,,
10017,2,210,11,4,1101,1435,600,5,5,,,,
10018,1,210,17,,1283.33,2000,300,6,6,,400,2,2
10020,1,210,13,4,335.5,500,171,2,2,,,,
10020,2,210,13,4,2000,2000,2000,1,1,,,,
10021,1,210,12,4,334,334,334,1,1,,,,
10025,1,210,6,,17465,17465,17465,4,4,,,,
10027,1,210,12,2,1111,1111,1111,1,1,,,,
10027,1,210,13,2,144,144,144,1,1,,,,
10027,1,210,8,2,1000,1000,1000,2,2,,,,
10027,2,210,12,2,1000,1000,1000,1,1,,,,
10027,2,210,13,2,733,1000,399,3,3,,,,
10027,2,210,3,2,90,90,90,1,1,,90,1,1
10027,3,210,11,2,1545,1545,1545,4,4,,,,
10027,3,210,12,2,1500,1500,1500,1,1,,,,
10027,3,210,5,2,1100,1100,1100,2,2,,,,
10027,3,210,8,2,2200,2200,2200,1,1,,,,
10027,3,210,9,2,12208.25,33333,2500,4,4,,,,
10028,2,210,3,,1332.33,1749,499,3,3,,369.5,2,2
10029,1,210,2,,2334,2334,2334,1,1,,,,
1003,2,210,10,4,9999,9999,9999,1,1,,,,
1003,2,210,5,4,9000,9000,9000,1,1,,,,
1003,3,210,13,4,43494,80000,1199,4,4,,,,
1003,3,210,5,4,11999,11999,11999,2,2,,,,
10030,2,210,12,4,800,800,800,2,2,,400,1,1
10030,3,210,12,4,15005,15005,15005,1,1,,,,
10031,1,210,10,4,500,500,500,1,1,,,,
10031,1,210,3,4,1788.67,1966,1700,3,3,,,,
10031,1,210,5,4,144,144,144,1,1,,,,
10031,1,210,9,4,300,300,300,1,1,,,,
10031,2,210,12,4,500,500,500,1,1,,,,
10031,2,210,5,4,525,800,250,2,2,,,,
10031,3,210,10,4,3000,3000,3000,1,1,,,,
10031,3,210,11,4,3050.67,4999,153,3,3,,,,
10031,3,210,12,4,4995,4995,4995,1,1,,,,
10031,3,210,3,4,750,750,750,1,1,,153,1,1
10031,3,210,5,4,2230.6,5000,153,5,5,,,,
10031,3,210,9,4,5000,5000,5000,4,4,,,,
10031,3,44,5,4,1000,1000,1000,1,1,,,,
10034,2,210,19,,1370.5,5000,300,12,12,512.1,445,1,1
10035,2,210,3,,12000,12000,12000,1,1,,,,
10036,1,210,19,,3444.63,14400,325,8,8,,144,1,1
10036,2,210,19,,709.38,1000,200,8,8,,316.67,3,3
10036,3,210,19,,4699.62,20000,1500,13,13,1935,,,
10039,1,210,10,2,500,500,500,1,1,,418,1,1
10039,1,210,11,2,2232.6,2882,1700,5,5,,,,
10039,1,210,13,2,2700,3500,1900,2,2,,,,
10039,1,210,3,2,500,500,500,2,2,,,,
10039,1,210,8,2,793.17,2000,115,6,6,,224,2,2
10039,2,210,10,2,613.5,899,500,4,4,,727.5,2,2
10039,2,210,11,2,553.8,900,250,5,5,,499,1,1
10039,2,210,12,2,1082.67,2000,499,6,6,,,,
10039,2,210,13,2,3454.75,4999,1000,4,4,,3196.33,3,3
10039,2,210,3,2,1287.25,1899,695,4,4,,766.67,3,3
10039,2,210,5,2,5994,25000,400,7,7,,833.5,2,2
10039,2,210,8,2,703.29,999,450,7,7,,,,
10039,2,210,9,2,1443.38,3900,110,8,8,,110,1,1
10039,2,29,3,2,229,229,229,1,1,,,,
10039,3,210,11,2,2578.5,4750,1400,4,4,,,,
10039,3,210,12,2,8333.33,13000,2000,3,3,,,,
10039,3,210,13,2,10631.91,20000,5420,11,11,5940,7808.71,7,7
10039,3,210,3,2,5984.2,12000,321,5,5,,,,
10039,3,210,5,2,724.5,750,699,2,2,,,,
10039,3,210,8,2,3055.43,4500,90,7,7,,2258,5,5
10039,3,210,9,2,6549.67,10000,3999,9,9,,,,
10039,3,35,10,2,500,500,500,1,1,,,,
10039,4,210,10,2,100000,100000,100000,2,2,,,,
10039,4,210,12,2,87500,100000,75000,2,2,,,,
10039,4,210,13,2,225539,580000,120000,7,7,,,,
10040,1,210,10,4,369,369,369,1,1,,,,
10040,1,210,11,4,5174,5174,5174,1,1,,,,
10040,1,210,13,4,900,900,900,1,1,,,,
10040,2,210,10,4,180,180,180,1,1,,,,
10040,2,210,12,4,180,180,180,1,1,,,,
10040,2,210,13,4,180,180,180,1,1,,180,1,1
10040,2,210,3,4,2500,2500,2500,1,1,,600,1,1
10040,2,210,5,4,1448.33,1595,1370,3,3,,,,
10040,2,210,9,4,2000,3000,1000,2,2,,,,
10040,3,210,10,4,1487.5,2000,1100,4,4,,,,
10040,3,210,11,4,4999,4999,4999,1,1,,,,
10040,3,210,12,4,543,543,543,1,1,,,,
10040,3,210,5,4,1000,1000,1000,1,1,,,,
10040,3,210,8,4,2549.5,3999,1100,2,2,,,,
10040,3,210,9,4,5000,5000,5000,1,1,,,,
10042,3,1,-1,,29980.22,99900,14999,18,18,16424.49,18638.44,9,9
10043,1,170,17,,550,550,550,1,1,,,,
10043,1,210,17,,540.14,2000,200,7,7,,242,6,6
10043,2,210,17,,751.67,2000,200,27,27,288.36,285,2,2
10043,2,45,17,,300,300,300,1,1,,,,
10043,3,210,17,,4620,8000,2500,5,5,,,,
10043,4,210,17,,12999,12999,12999,2,2,,,,
10044,1,210,10,3,599,599,599,2,2,,,,
10044,1,210,12,3,287,287,287,2,2,,,,
10044,1,210,13,3,1066.67,2000,500,3,3,,393.5,2,2
10044,1,210,3,3,1870.67,3912,500,3,3,,,,
10044,1,210,5,3,222,222,222,1,1,,222,1,1
10044,1,210,8,3,816.67,1450,500,3,3,,,,
10044,1,210,9,3,999,999,999,3,3,,,,
10044,1,41,12,3,60,60,60,1,1,,,,
10044,2,210,10,3,917.5,1500,670,4,4,,,,
10044,2,210,12,3,963.33,2000,90,3,3,,,,
10044,2,210,3,3,4398.4,10000,664,5,5,,,,
10044,2,210,5,3,937.6,1199,750,5,5,,,,
10044,2,210,8,3,1121.25,1785,900,4,4,,,,
10044,2,210,9,3,922,1144,700,2,2,,700,1,1
10044,3,210,11,3,1851.57,5000,775,7,7,,,,
10044,3,210,12,3,2466.5,5000,800,6,6,,,,
10044,3,210,3,3,1950,7000,900,6,6,,,,
10044,3,210,5,3,5000,5000,5000,1,1,,,,
10044,3,210,8,3,1000,1000,1000,1,1,,,,
10044,3,210,9,3,900,900,900,1,1,,,,
10045,1,210,8,4,325,325,325,1,1,,325,1,1
10045,2,210,10,4,590,1000,180,2,2,,,,
10045,2,210,11,4,2100,2100,2100,1,1,,,,
10045,2,210,12,4,1560,4000,180,3,3,,340,2,2
10045,2,210,13,4,1875,2750,1000,2,2,,,,
10045,2,210,3,4,500,500,500,1,1,,180,1,1
10045,2,210,5,4,516.75,567,500,4,4,,,,
10045,2,210,8,4,3000,3000,3000,2,2,,,,
10045,3,210,10,4,1000,1000,1000,2,2,,,,
10045,3,210,12,4,9375,13000,500,4,4,,,,
10045,3,210,13,4,4450,5000,3900,2,2,,300,1,1
10045,3,210,3,4,2549.25,2999,1200,4,4,,,,
10045,3,210,5,4,971.75,1200,850,4,4,,,,
10045,3,210,8,4,8499,8499,8499,1,1,,,,
10045,3,210,9,4,1927.67,2000,1783,3,3,,,,
10045,4,210,12,4,250000,250000,250000,1,1,,,,
10045,4,210,13,4,364998.3,645000,199995,3,3,,,,
10046,2,210,9,4,2033.33,2500,1800,3,3,,,,
10046,3,210,9,4,20900,20900,20900,2,2,,,,
10048,1,210,3,2,1012,1012,1012,2,2,,,,
10048,3,210,11,2,1100,1100,1100,2,2,,,,
10048,3,210,3,2,8000,8000,8000,1,1,,,,
10048,3,210,9,2,3304,9000,456,3,3,,,,
10048,4,210,13,2,325000,325000,325000,2,2,,,,
10049,1,21,12,4,169,169,169,1,1,,,,
10049,1,210,11,4,300,300,300,1,1,,,,
10049,1,210,12,4,300,300,300,1,1,,,,
10049,1,210,13,4,6555,6555,6555,2,2,,,,
10049,1,210,5,4,299,299,299,1,1,,,,
10049,1,210,9,4,87,87,87,1,1,,,,
10049,1,25,11,4,140,140,140,1,1,,,,
10049,2,210,11,4,900,900,900,1,1,,,,
10049,2,210,12,4,650,650,650,2,2,,,,
10049,2,210,3,4,900,900,900,3,3,,,,
10049,3,210,10,4,600,600,600,1,1,,,,
10049,3,210,11,4,982,1089,875,2,2,,,,
10049,3,210,12,4,1000,1000,1000,1,1,,,,
10049,3,210,13,4,4160,7000,1000,5,5,,,,
10049,3,210,3,4,1402.75,1500,1111,4,4,,,,
10049,3,210,9,4,323,323,323,2,2,,,,
10051,1,210,1,,576,1000,228,3,3,,,,
10052,1,210,4,,7500,10000,5000,2,2,,,,
10052,1,210,5,,10000,10000,10000,1,1,,,,
10052,1,210,7,,3944,4000,3888,2,2,,1000,1,1
10052,2,210,0,,14666.67,20000,4000,3,3,,,,
10052,2,210,1,,740,740,740,1,1,,,,
10052,2,210,2,,15939.8,40000,7000,5,5,,7000,1,1
10052,2,210,4,,1875,2500,1250,2,2,,1250,1,1
10052,2,210,5,,240,240,240,1,1,,,,
10052,2,210,6,,103833,200000,7666,2,2,,,,
10052,3,210,2,,28750,40000,17500,2,2,,,,
10052,3,210,3,,17500,17500,17500,1,1,,7500,1,1
10052,3,210,6,,15000,15000,15000,2,2,,7623,2,2
10052,3,210,7,,5500,5500,5500,1,1,,5500,1,1
10052,4,210,2,,47000,50000,44000,2,2,,44000,1,1
10052,4,210,7,,75000,75000,75000,2,2,,,,
10053,1,210,10,2,174,174,174,1,1,,,,
10053,1,210,3,2,750,750,750,1,1,,,,
10053,2,210,11,2,466.67,500,400,3,3,,,,
10053,2,210,13,2,700,700,700,1,1,,,,
10053,3,210,5,2,2500,2500,2500,1,1,,,,
10054,2,210,2,,15000,15000,15000,1,1,,,,
10056,1,210,3,4,499,499,499,1,1,,,,
10056,2,210,5,4,950,1000,900,2,2,,,,
10056,3,210,10,4,600,600,600,1,1,,,,
10056,3,210,13,4,10000,10000,10000,1,1,,,,
10056,4,210,13,4,20000,20000,20000,1,1,,,,
10057,3,210,4,,1246,1246,1246,1,1,,,,
10057,3,210,5,,1246,1246,1246,3,3,,,,
10057,3,210,6,,1246,1246,1246,1,1,,,,
10057,3,210,7,,1246,1246,1246,2,2,,,,
10058,3,1,-1,,2955.47,49999,350,49,49,850.41,936.36,38,39
1006,1,200,2,,1295,1295,1295,1,1,,,,
10061,1,210,19,,144,144,144,1,1,,,,
10061,2,210,19,,700,1500,150,5,5,,150,2,2
10061,3,210,19,,5199.83,7000,1200,6,6,,200,1,1
10061,4,210,19,,39999.67,49999,35000,3,3,,,,
10065,2,210,8,2,390,690,90,2,2,,,,
10066,1,210,10,2,500,500,500,1,1,,,,
10066,1,210,11,2,562.5,625,500,2,2,,,,
10066,1,210,12,2,200,200,200,1,1,,,,
10066,1,210,13,2,677.4,1000,87,5,5,,800,1,1
10066,1,210,3,2,922.4,1500,530,5,5,,,,
10066,1,210,5,2,1193,3000,100,6,6,,499,1,1
10066,1,210,8,2,2923.75,8700,995,4,4,,,,
10066,1,46,11,2,11963,11963,11963,1,1,,,,
10066,2,210,10,2,190,190,190,2,2,,,,
10066,2,210,11,2,866.67,1000,600,3,3,,,,
10066,2,210,12,2,90,90,90,1,1,,,,
10066,2,210,13,2,1386,3000,33,6,6,,616.5,2,2
10066,2,210,3,2,1260,2000,520,2,2,,,,
10066,2,210,5,2,500,500,500,1,1,,,,
10066,2,210,8,2,1616.5,1998,1235,2,2,,90,1,1
10066,2,210,9,2,2000,2000,2000,1,1,,,,
10066,3,210,10,2,345,345,345,2,2,,,,
10066,3,210,12,2,1000,1000,1000,1,1,,,,
10066,3,210,13,2,4000,6000,2000,2,2,,,,
10066,3,210,3,2,321,321,321,1,1,,,,
10066,3,210,5,2,2317.6,3000,2000,5,5,,,,
10066,3,210,8,2,1000,1000,1000,1,1,,,,
10066,3,210,9,2,1300,1500,1100,2,2,,,,
10066,3,42,5,2,800,800,800,1,1,,,,
10069,1,210,11,4,1200,1200,1200,1,1,,,,
10069,2,210,10,4,2365.33,2498,2100,3,3,,,,
10069,2,210,13,4,3000,3000,3000,1,1,,,,
10069,2,210,5,4,3000,3000,3000,2,2,,,,
10069,2,210,9,4,3225,4000,2450,2,2,,,,
10069,3,210,10,4,8351.11,19360,5000,9,9,,5000,1,1
10069,3,210,11,4,4500,5000,4000,2,2,,,,
10069,3,210,12,4,3000,3000,3000,1,1,,,,
10069,3,210,13,4,6475,6500,6400,4,4,,6450,2,2
10069,3,210,5,4,6625,7000,6500,4,4,,,,
10069,3,210,8,4,4500,4500,4500,1,1,,,,
10069,3,210,9,4,11199.8,20000,2999,5,5,,,,
10069,4,210,13,4,220000,220000,220000,1,1,,220000,1,1
10069,4,210,8,4,60000,60000,60000,1,1,,,,
10069,4,210,9,4,45000,45000,45000,1,1,,,,
1007,1,1,-1,,316.25,615,100,4,4,,182.5,4,4
10071,1,21,17,,199,199,199,1,1,,,,
10071,1,210,17,,544.88,850,144,16,16,364.5,171.5,4,4
10071,2,210,17,,795.37,5000,150,19,19,254.59,273.83,6,6
10071,2,49,17,,555,555,555,1,1,,,,
10071,3,210,17,,5916.17,10000,1500,6,6,,1596.67,3,3
10071,4,210,17,,38333.33,40000,35000,3,3,,,,
10072,1,210,12,3,144,144,144,1,1,,,,
10072,1,210,5,3,2000,2000,2000,1,1,,,,
10072,1,210,9,3,500,500,500,1,1,,,,
10072,2,210,10,3,799,799,799,1,1,,,,
10072,2,210,11,3,1300,1500,1100,2,2,,,,
10072,2,210,12,3,1960,3500,475,10,10,939.38,,,
10072,2,210,5,3,1295,2000,300,6,6,,340,1,1
10072,2,210,9,3,1000,1000,1000,1,1,,,,
10072,3,210,10,3,2411.25,5555,90,4,4,,,,
10072,3,210,8,3,7500,10000,5000,2,2,,,,
10073,1,210,13,4,800,800,800,3,3,,,,
10073,1,210,3,4,87,87,87,2,2,,,,
10073,1,210,9,4,2744.33,6733,750,3,3,,,,
10073,2,210,10,4,499,499,499,1,1,,,,
10073,2,210,11,4,487,675,299,2,2,,,,
10073,2,210,12,4,330,330,330,1,1,,,,
10073,2,210,13,4,90,90,90,1,1,,,,
10073,2,210,3,4,475,500,450,2,2,,,,
10073,3,210,10,4,2000,2000,2000,1,1,,,,
10073,3,210,13,4,1003.6,2000,400,5,5,,,,
10073,3,210,3,4,563.33,1000,345,3,3,,345,2,2
10073,3,210,8,4,2027.67,3000,83,3,3,,,,
10073,3,210,9,4,1500,1500,1500,2,2,,,,
