item_id,item_name
1,"sip of weapon power"
10,"darkstride jack"
100,"pauldron of the arena"
1000,"girdle of the arena"
10000,"jewelry: spelunker"
10001,"ring of draugr heritage"
10002,"dwarven sword of poison"
10003,"draws-the-sap dagger"
10004,"roreles' ring of cyrodiil's ward"
10005,"mara's breath"
10006,"beekeeper's greaves"
10007,"crafting motif 41: celestial gloves"
10008,"ring of the trainee"
10009,"hickory bow of foulness"
1001,"truly superb glyph of magicka recovery"
10010,"necklace of hist sap"
10011,"hazak's hauberk"
10012,"hat of the netch's touch"
10013,"resolve-draining poison vii"
10014,"sash of trinimac's valor"
10015,"necklace of the trainee"
10016,"heartbreaker's ebon greaves"
10017,"fingaenion's toe gloves of the vampire's cloak"
10018,"sapmagic ring"
10019,"leviathan belt"
1002,"shoulder cops of the viper"
10020,"hakra's cuisses"
10021,"dungeon-delving slippers"
10022,"inferno staff of cyrodiil's ward"
10023,"rubedite battle axe of absorb stamina"
10024,"leviathan arm cops"
10025,"bow of penumbra"
10026,"epaulets of the netch's touch"
10027,"vampire lord's epaulets"
10028,"estre's dreadstaff"
10029,"ysgramor's inferno staff"
1003,"ravaging cuirass"
10030,"thunderbug carapace boots of clomping"
10031,"pauldron of the green pact"
10032,"automaton's boots"
10033,"spelunker's chausses of the spider-slayer"
10034,"prisoner duriatundar's frigid amulet"
10035,"spriggan's sword"
10036,"senche's necklace"
10037,"battered war trophy of draugr heritage"
10038,"jewelry: spinner's garments"
10039,"sash of a mother's sorrow"
10040,"seventh legion's greaves"
10041,"oak bow of weakening"
10042,"crafting motif 20: yokudan boots"
10043,"smuggler's ring"
10044,"witchman's boots"
10045,"plague doctor's greaves"
10046,"daggerfall champion's breastplate of the wyrd tree"
10047,"vampire lord's rune charm choker"
10048,"spinner's robe"
10049,"shalk's sabatons"
1005,"voidsteel girdle of magicka"
10050,"automaton's jack"
10051,"general emax's staff"
10052,"briarheart bow"
10053,"vampire lord's breeches"
10054,"smuggler's greatsword"
10055,"breeches of the netch's touch"
10056,"cuirass of the hatchling's shell"
10057,"maul of beckoning steel"
10058,"crafting motif 38: draugr boots"
10059,"spelunker's guards"
1006,"inferno staff of the willow's path"
10060,"brimstone cowl of the noble duelist"
10061,"witchman's ring"
10062,"axe of the sergeant"
10063,"rattlecage cuirass"
10064,"werewolf hide werewolf slayer"
10065,"bloodthorn crocodile hide gloves"
10066,"ysgramor's sash"
10067,"shield of the conspirators of the worm cult"
10068,"maple lightning staff of foulness"
10069,"pauldron of the pariah"
1007,"recipe: cinnamon grape jelly"
10070,"privateer clogs"
10071,"bloodthorn ring"
10072,"spriggan's helmet"
10073,"girdle of the green pact"
10074,"sword of soulshine"
10075,"cirion's last stand of the tormentor"
10076,"barkskin maul"
10077,"girdle of the hatchling's shell"
10078,"crafting motif 41: celestial boots"
10079,"blessed pauldron"
10080,"weapons: spider cultist cowl"
10081,"saint pelin leggings"
10082,"earth-turner axe"
10083,"witchman's sword"
10084,"seventh legion's conjured oath-band"
10085,"kingsguard hammer"
10086,"prisoner's mace"
10087,"maul of almalexia's mercy"
10088,"vampire lord's sash"
10089,"greaves of the hatchling's shell"
1009,"full-leather jack of stamina"
10090,"plague doctor's pauldron"
10091,"valdur's shield"
10092,"smuggler's sword"
10093,"bruuke's hide of cyrodiil's ward"
10094,"miremonwe's magicka pendant of necropotence"
10095,"senche's bow"
10096,"jade general's helm"
10097,"brackenleaf's bough"
10098,"kothringi plate pauldrons"
10099,"shield of kyne's kiss"
101,"cyrodiil treasure map xvi"
1010,"ruin"
10100,"plague doctor's shield"
10101,"spriggan's thief-lord's slippers"
10102,"giant-friend"
10103,"toothrow arm cops"
10104,"ysgramor's hat"
10105,"girdle of the veiled heritance"
10106,"automaton's belt"
10107,"spinner's sapstung helmet"
10108,"spinner's sword"
10109,"staff of memory"
1011,"shadowspun epaulets"
10110,"ice staff of truth"
10111,"shield of martial knowledge"
10112,"treasure hunter's gloves"
10113,"grove-watcher's sunderflame brigandine"
10114,"mace of the sentry"
10115,"spelunker's helmet"
10116,"dagger of cyrodiil's crest"
10117,"jailbreaker jack"
10118,"greaves of the order of diagna"
10119,"bracers of the wilderqueen"
1012,"calcinium helm of stamina"
10120,"epaulets of the trainee"
10121,"weapons: hatchling's shell"
10122,"barrow hammer of necropotence"
10123,"swamp raider's helmet"
10124,"automaton's bracers"
10125,"cuirass of draugr heritage"
10126,"bone pirate's belt"
10127,"plaguetender's staff"
10128,"weapons: barkskin"
10129,"gloves of the withered hand"
1013,"recipe: twenty-four-raven pie"
10130,"iron dagger of weapon damage"
10131,"shield of the wyrd tree"
10132,"ring of the wilderqueen"
10133,"arachnid gauntlets"
10134,"robe of the trainee"
10135,"manteau's greatsword"
10136,"unstable element staff of the fire"
10137,"gar xuu gar's axe of night terror"
10138,"automaton's guards"
10139,"bow of the wyrd tree"
10140,"stibbon's dress trousers of the prisoner"
10141,"necklace of draugr heritage"
10142,"darj's shield"
10143,"sword dancer's helmet"
10144,"beekeeper's ice staff"
10145,"exotic equipment"
10146,"weapons: vampire cloak"
10147,"bloodthorn gloves"
10148,"necklace of the vampire's cloak"
10149,"dagger of truth"
1015,"craglorn treasure map vi"
10150,"shield of the air"
10151,"sabatons of the order of diagna"
10152,"ancient netch-robes"
10153,"yew inferno staff of foulness"
10154,"shield of the sentry"
10155,"robes of the wilder"
10156,"dead man's ring of salvation"
10157,"maul of cyrodiil's ward"
10158,"dagger of stendarr"
10159,"hist's root band"
1016,"dwarven oil"
10160,"mother murk's corrupted sprig of the wyrd tree"
10161,"fiord's bow"
10162,"werewolf hide dagger's combat stompers"
10163,"sword-singer's battle axe"
10164,"maul"
10165,"sword of kyne's kiss"
10166,"jewelry: treasure hunter"
10167,"bone pirate's guards"
10168,"ysgramor's frostmaiden's tear"
10169,"weapons: skooma smuggler"
1017,"yew shield of stamina"
10170,"seventh legion's girdle"
10171,"sword dancer's arm cops"
10172,"smuggler's breeches"
10173,"robe of nature's fury"
10174,"lightning staff of martial knowledge"
10175,"mammoth band of the dragon"
10176,"earth-shaker staff"
10177,"ring of the vampire's cloak"
10178,"cuirass of medusa"
10179,"birch inferno staff of foulness"
1018,"iron helm of stamina"
10180,"ring of the fire"
10181,"smuggler's epaulets"
10182,"darkstride grimtooth's annihilation axe"
10183,"plague doctor's girdle"
10184,"lamia's gloves"
10185,"scampcrusher"
10186,"vampire lord's hat"
10187,"light speaker's gloves"
10188,"knight-errant's gauntlets"
10189,"fishbreath's leathers of the senche"
1019,"rubedite gauntlets"
10190,"birch ice staff of absorb health"
10191,"alexandra's froststaff"
10192,"weapons: spinner's garments"
10193,"traitor's flame"
10194,"ahirunz's beloved sash"
10195,"athal's robe of cyrodiil's light"
10196,"galatite dagger of hardening"
10197,"longhaven brigandine"
10198,"leviathan jack"
10199,"panacea of vulnerability"
1020,"orichalc pauldron"
10200,"jailbreaker helmet"
10201,"key fragment"
10202,"light speaker's shoes"
10203,"a cheap trinket"
10204,"staff of secundus"
10205,"plague doctor's helm"
10206,"greaves of the trainee"
10207,"shoes of a mother's sorrow"
10208,"cuirass of the wyrd tree"
10209,"sir edain's war belt"
1021,"pendant of soulshine"
10210,"rattlecage sabatons"
10211,"stygian nerazakan's fascination"
10212,"bloodthorn shoes"
10213,"crafting motif 41: celestial shields"
10214,"svari's staff"
10215,"skald-king's favor"
10216,"ashlander's honor of mother's sorrow"
10217,"light speaker's robe"
10218,"chill hollow pendant of stendarr"
10219,"pristine shroud"
1022,"spidersilk shoes"
10220,"ring of the wyrd tree"
10221,"shoes of stendarr"
10222,"bow of the withered hand"
10223,"bone pirate's helmet"
10224,"restoration staff of the onslaught"
10225,"ysgramor's shoes"
10226,"crabclaw axe of the shalk"
10227,"weapons: medusa"
10228,"skordo's stalwart"
10229,"weapons: treasure hunter"
1023,"oak bow of flame"
10230,"jailbreaker boots"
10231,"acrobat's boots"
10232,"witchman's necklace"
10233,"smuggler's shoes"
10234,"mourning bow"
10235,"rhorlak's war axe"
10236,"leviathan bracers"
10237,"weapons: knight-errant's mail"
10238,"galatite mace of decrease health"
10239,"serpent-rider spaulders of the twin sisters"
1024,"curried kwama scrib risotto"
10240,"spider cultist's breeches"
10241,"helm of the green pact"
10242,"afflicted maul"
10243,"smuggler's gloves"
10244,"guards of night terror"
10245,"bow of cyrodiil's crest"
10246,"ordinator helm"
10247,"storm-slave's razor"
10248,"witchman's bracers"
10249,"inferno staff of the sentry"
1025,"average glyph of weapon damage"
10250,"spriggan's belt"
10251,"lightning staff"
10252,"plague mask"
10253,"bloodthorn stibbons's dapper chapeau"
10254,"heavy: armor of the trainee"
10255,"broadhead shield"
10256,"king aphren's seal"
10257,"jewelry: ysgramor's birthright"
10258,"dagger of a mother's sorrow"
10259,"sword-singer's belt"
1026,"ebon battle axe of shock"
10260,"charged rod of the order of diagna"
10261,"carved bone medallion"
10262,"desert's jewel cowl"
10263,"sword-singer's guards"
10264,"dagger of the green sister"
10265,"sword-singer's jack"
10266,"senche's arm cops"
10267,"spider cultist's shoes"
10268,"werewolf hide daggerfall guard tabard"
10269,"seaworthy shoes"
1027,"merchant guardian's pauldrons"
10270,"treasure hunter's robe"
10271,"jewelry: vampire lord"
10272,"spinner's mace"
10273,"blessing of the keepers of the tormentor"
10274,"werewolf hide kip's roguish leathers"
10275,"lightning staff of shock"
10276,"crafting motif 38: draugr staves"
10277,"shield of stamina"
10278,"mace of hist sap"
10279,"greaves of medusa"
10280,"leviathan guards"
10281,"egg-tender's guard"
10282,"viveka's belt"
10283,"smuggler's lightning staff"
10284,"weapons: beekeeper's gear"
10285,"targoth's shield"
10286,"senche's guards"
10287,"breeches of trinimac's valor"
10288,"smuggler's vest"
10289,"automaton's arm cops"
1029,"magnus' girdle"
10290,"the negotiator"
10291,"barkbite greaves"
10292,"oak lightning staff of poison"
10293,"thane watch"
10294,"blade of the ayleid king"
10295,"weapons: sword dancer"
10296,"cuirass of the green pact"
10297,"inferno staff of a mother's sorrow"
10298,"gauntlets of draugr heritage"
10299,"dathieu's traitorous axe of the vampire's cloak"
103,"recipe: orcrest garlic apple jelly"
1030,"sabatons of ashen grip"
10300,"toothrow helmet"
10301,"pauldron of the veiled heritance"
10302,"barkskin shield"
10303,"crafting motif 41: celestial belts"
10304,"lightning staff of almalexia's mercy"
10305,"briarheart helmet"
10306,"charging chestpiece of syrabane"
10307,"culanwe's will"
10308,"plague doctor llarel's sheltering shield"
10309,"greatshield of bangkorai"
1031,"ebon battle axe of flame"
10310,"senche's mace"
10311,"light speaker's last gift"
10312,"restoration staff of the order of diagna"
10313,"sword-singer's boots"
10314,"toothrow bracers"
10315,"retribution's cowl of the shadow dancer"
10316,"seventh legion's shield"
10317,"axe of the houndslayer"
10318,"smuggler's robe"
10319,"justice longbow"
10320,"jewelry: spriggan's thorns"
10321,"treasure hunter's sash"
10322,"thunderbug carapace bugslayer"
10323,"jewelry: vampire cloak"
10324,"thunderbug's helm"
10325,"thunderbug's restoration staff"
10326,"thunderbug's mace"
10327,"thunderbug's girdle"
10328,"thunderbug's pauldron"
10329,"thunderbug's gauntlets"
1033,"pojora"
10330,"helm of the hatchling's shell"
10331,"dreamer's necklace"
10332,"thunderbug's necklace"
10333,"spinner's necklace"
10334,"spinner's ring"
10335,"ring of the order of diagna"
10336,"sword-singer's ring"
10337,"necklace of the hatchling's shell"
10338,"swamp raider's shield"
10339,"swamp raider's sword"
1034,"combwort flatbread"
10340,"swamp raider's ring"
10341,"bow of hist sap"
10342,"ring of hist sap"
10343,"witchman's jack"
10344,"greatsword of the ranger"
10345,"shield of the ranger"
10346,"guards of the ranger"
10347,"ring of the ranger"
10348,"dreamer's jerkin"
10349,"greatsword of soulshine"
1035,"recipe: animate-the-dead"
10350,"dreamer's shield"
10351,"jewelry: toothrow"
10352,"dreamer's shoes"
10353,"dreamer's breeches"
10354,"dreamer's gloves"
10355,"weapons: plague doctor"
10356,"dreamer's bow"
10357,"dreamer's hat"
10358,"plague doctor's gauntlets"
10359,"helmet of night terror"
1036,"pact's belt"
10360,"shield of night terror"
10361,"jack of the wilderqueen"
10362,"deadly restoration staff"
10363,"necklace of the wilderqueen"
10364,"battle axe of a mother's sorrow"
10365,"ice staff of a mother's sorrow"
10366,"jerkin of a mother's sorrow"
10367,"necklace of a mother's sorrow"
10368,"ring of a mother's sorrow"
10369,"plague doctor's greatsword"
1037,"recipe: crispy cheddar chicken"
10370,"plague doctor's bow"
10371,"plague doctor's sword"
10372,"plague doctor's restoration staff"
10373,"plague doctor's necklace"
10374,"helm of the wyrd tree"
10375,"sabatons of the wyrd tree"
10376,"girdle of the wyrd tree"
10377,"gauntlets of the wyrd tree"
10378,"shalk's restoration staff"
10379,"shalk's pauldron"
1038,"recipe: enlightenment tea"
10380,"shalk's shield"
10381,"alcaire banneret's helm"
10382,"shalk's cuirass"
10383,"shalk's helm"
10384,"shalk's greaves"
10385,"sword of the sentry"
10386,"shalk's ring"
10387,"bloodthorn ice staff"
10388,"bloodthorn hat"
10389,"arm cops of the trainee"
1039,"roasted beet and millet salad"
10390,"guards of the trainee"
10391,"shield of the trainee"
10392,"restoration staff of the trainee"
10393,"bow of the trainee"
10394,"battle axe of the trainee"
10395,"pauldron of the trainee"
10396,"gauntlets of the trainee"
10397,"cuirass of the trainee"
10398,"maul of the air"
10399,"necklace of the air"
104,"ruby ash inferno staff of shock"
1040,"rubedo leather belt of health"
10400,"restoration staff of martial knowledge"
10401,"axe of martial knowledge"
10402,"robe of martial knowledge"
10403,"bow of martial knowledge"
10404,"ring of martial knowledge"
10405,"restoration staff of the fire"
10406,"mace of the fire"
10407,"dagger of the fire"
10408,"greatsword of the fire"
10409,"necklace of the fire"
1041,"greaves of elf bane"
10410,"dagger of the veiled heritance"
10411,"greaves of the veiled heritance"
10412,"necklace of the veiled heritance"
10413,"ring of the veiled heritance"
10414,"ice staff of the sentry"
10415,"sword of vengeance leech"
10416,"curse-eating inferno staff"
10417,"crafting motif 39: minotaur style"
10418,"knight-errant's girdle"
10419,"afflicted greatsword"
1042,"craglorn treasure map i"
10420,"inferno staff of the juggernaut"
10421,"sword of the juggernaut"
10422,"epaulets of the withered hand"
10423,"jerkin of the withered hand"
10424,"shoes of the withered hand"
10425,"sash of the withered hand"
10426,"necklace of the withered hand"
10427,"wyrd branch of the wyrd tree"
10428,"crafting motif 41: celestial swords"
10429,"crafting motif 41: celestial staves"
1043,"voidsteel cuirass"
10430,"crafting motif 41: celestial maces"
10431,"crafting motif 41: celestial helmets"
10432,"crafting motif 41: celestial daggers"
10433,"crafting motif 41: celestial chests"
10434,"crafting motif 41: celestial axes"
10435,"senche's ring"
10436,"senche's greatsword"
10437,"senche's battle axe"
10438,"senche's belt"
10439,"senche's helmet"
1044,"orichalc battle axe of frost"
10440,"senche's bracers"
10441,"senche's restoration staff"
10442,"senche's inferno staff"
10443,"spinner's epaulets"
10444,"senche's dagger"
