item_id,quality,level,trait,variant,avg,max,min,entry_count,amount_count,suggested_price,sale_avg,sale_entry_count,sale_amount_count
1,0,3,-1,2|4|6,20,20,20,1,100,,,,
10,1,210,10,3,866.33,1000,599,3,3,,,,
10,1,210,12,3,486.5,799,174,2,2,,,,
10,2,210,10,3,485.33,500,456,3,3,,,,
10,2,210,11,3,416.75,599,180,4,4,,180,1,1
10,2,210,12,3,180,180,180,1,1,,,,
10,2,210,13,3,540,540,540,1,1,,,,
10,2,210,3,3,3198,3198,3198,1,1,,,,
10,2,210,5,3,460,555,180,4,4,,,,
10,2,210,8,3,599.8,1000,200,5,5,,200,1,1
10,2,210,9,3,597,1111,180,3,3,,,,
10,3,210,12,3,4500,4500,4500,1,1,,,,
10,3,210,13,3,7250,7500,7000,2,2,,,,
10,3,210,3,3,600,600,600,2,2,,,,
10,3,210,5,3,250,250,250,1,1,,,,
10,3,210,8,3,983,983,983,1,1,,,,
10,4,210,13,3,340000,340000,340000,2,2,,,,
10,4,210,9,3,115000,115000,115000,1,1,,,,
10001,1,210,18,,271.43,655,144,7,7,,170,6,6
10001,2,210,18,,594.88,4000,150,17,17,223.07,248.69,13,13
10001,3,210,18,,1368.29,3000,600,17,17,881.36,596.5,8,8
10001,4,210,18,,50000,50000,50000,2,2,,,,
10003,1,210,3,,1013.2,1300,666,5,5,,733,2,2
10004,2,210,19,,2116.5,3333,900,2,2,,900,1,1
10005,1,210,1,,673.67,1568,225,3,3,,,,
10006,1,210,11,4,174,174,174,4,4,,,,
10006,1,210,13,4,469,469,469,1,1,,,,
10006,1,210,5,4,150,150,150,1,1,,,,
10006,2,210,10,4,700,700,700,1,1,,,,
10006,2,210,11,4,490,800,180,2,2,,,,
10006,2,210,12,4,1000,1000,1000,1,1,,,,
10006,2,210,5,4,300,300,300,1,1,,,,
10006,2,210,9,4,180,180,180,1,1,,,,
10006,3,210,10,4,999,999,999,1,1,,,,
10006,3,210,13,4,741.5,1300,183,2,2,,,,
10006,3,210,8,4,9999,9999,9999,1,1,,,,
10006,3,210,9,4,183,183,183,1,1,,,,
10007,3,1,-1,,49692.33,74000,30000,54,54,41289.51,38270,10,10
10008,1,13,17,,244,244,244,1,1,,,,
10008,1,210,17,,506.06,1500,98,18,18,233.1,246.58,12,12
10008,1,210,18,,277.75,500,96,12,12,159.84,262,9,9
10008,1,210,19,,350.82,777,144,17,17,239.66,263,11,11
10008,1,37,18,,369,369,369,1,1,,,,
10008,1,4,18,,39,39,39,2,2,,,,
10008,2,140,18,,1500,1500,1500,2,2,,,,
10008,2,210,17,,941.92,12000,111,50,50,304.25,267.64,33,33
10008,2,210,18,,732.42,12000,90,102,102,292.92,250.77,48,48
10008,2,210,19,,374.36,1111,78,47,47,247.15,212.07,40,40
10008,2,210,24,,684.24,2000,150,45,45,422.9,448.14,28,28
10008,2,31,18,,300,300,300,1,1,,,,
