item_id,quality,level,trait,variant,avg,max,min,entry_count,amount_count,suggested_price,sale_avg,sale_entry_count,sale_amount_count
1,0,3,-1,2|6,38,45,3,6,6,,,,
1,0,3,-1,6|21,3,3,3,2,2,,,,
10,1,210,3,3,500,500,500,1,1,,,,
10,1,210,5,3,300,300,300,1,1,,,,
10,1,210,8,3,474,474,474,1,1,,,,
10,2,210,10,3,2500,2500,2500,1,1,,,,
10,2,210,11,3,543.8,599,530,5,5,,,,
10,2,210,12,3,743.75,800,575,4,4,,,,
10,2,210,3,3,3333.33,4000,2000,3,3,,,,
10,2,210,5,3,1033.17,2050,666,12,12,611.64,,,
10,2,210,8,3,2000,2000,2000,1,1,,,,
10,3,210,11,3,4269.8,4500,3800,10,10,3689.55,250,1,1
10,3,210,12,3,3366.67,4000,2100,3,3,,,,
10,3,210,13,3,7000,7000,7000,1,1,,360,1,1
10,3,210,3,3,4000,5000,3300,6,6,,,,
10,3,210,5,3,4000,4000,4000,2,2,,,,
10,3,210,8,3,183,183,183,1,1,,,,
10,3,210,9,3,5900,8800,3000,6,6,,,,
10,4,210,9,3,75000,75000,75000,3,3,,,,
10001,1,110,18,,125,125,125,2,2,,,,
10001,1,210,18,,1048.08,4500,144,37,37,540.78,424.13,8,8
10001,2,210,18,,1944.69,8000,150,32,32,686.84,366.56,9,9
10001,3,210,18,,6235.78,20000,901,54,54,4396.63,1017,3,3
10001,4,210,18,,53213.75,99999,39999,28,28,43362.82,,,
10004,2,210,19,,12288.89,20000,7000,9,9,,,,
10004,3,210,19,,30000,30000,30000,1,1,,,,
10005,1,210,1,,12500,12500,12500,5,5,,,,
10006,1,210,10,4,3333,3333,3333,1,1,,,,
10006,1,210,13,4,499,499,499,1,1,,,,
10006,1,210,9,4,775,950,250,4,4,,625,2,2
10006,2,210,10,4,500,500,500,1,1,,500,1,1
10006,2,210,11,4,925,1000,850,2,2,,925,2,2
10006,2,210,12,4,912.5,1000,825,2,2,,825,1,1
10006,2,210,13,4,2500,2500,2500,10,10,2250,,,
10006,2,210,3,4,1000,1000,1000,1,1,,300,1,1
10006,2,210,8,4,850,850,850,1,1,,222,1,1
10006,2,210,9,4,1800,1800,1800,3,3,,1800,2,2
10006,3,210,12,4,3000,3000,3000,1,1,,,,
10007,3,1,-1,,15192.92,40000,4500,194,194,11027.68,11504.97,78,78
10008,1,110,19,,226,226,226,1,1,,,,
10008,1,210,17,,1038.44,3988,80,27,27,267.3,294.64,14,14
10008,1,210,18,,638.73,1500,144,22,22,222.1,233.36,14,14
10008,1,210,19,,362.3,500,231,10,10,256.95,264.75,8,8
10008,1,48,17,,150,150,150,1,1,,,,
10008,2,13,18,,66,66,66,2,2,,66,1,1
10008,2,14,18,,66,66,66,1,1,,,,
10008,2,19,18,,275,275,275,2,2,,,,
10008,2,210,17,,842.19,3000,150,58,58,386.37,415.32,31,31
10008,2,210,18,,1879.44,10000,150,168,168,486.73,405.72,65,65
10008,2,210,19,,971.17,2900,150,89,89,488.21,394.74,35,35
10008,2,210,24,,1956.08,6900,150,93,93,868.17,932.87,23,23
10008,2,32,18,,2000,2000,2000,3,3,,,,
10008,2,34,18,,82,82,82,1,1,,,,
10008,2,36,18,,200,200,200,2,2,,,,
10008,2,37,24,,96,96,96,2,2,,96,1,1
10008,2,40,19,,2500,2500,2500,4,4,,,,
10008,2,42,18,,105,105,105,1,1,,,,
10008,2,46,18,,200,200,200,2,2,,200,3,3
10008,2,47,18,,461,811,111,2,2,,,,
10008,2,49,18,,1114.5,1115,1114,2,2,,,,
10008,3,210,17,,5441.27,25153,699,70,70,2250.19,1576.94,16,16
10008,3,210,18,,5162.78,35000,250,316,316,2331,1322.17,63,63
10008,3,210,19,,3759.2,25153,600,46,46,1379.98,1490.36,22,22
1001,1,210,-1,,150,150,150,20,20,135,150,15,15
1001,2,210,-1,,30,30,30,1,1,,,,
1001,3,210,-1,,2308.13,3500,1100,78,78,1762.81,2043.54,48,48
1001,4,210,-1,,10246.25,40000,4400,340,340,7092.21,8763.7,288,288
10010,1,210,17,,3223.08,6000,450,13,13,1117.5,2316.67,3,3
10010,2,210,17,,1049,1800,350,13,13,534.9,559.43,7,7
10010,3,210,17,,1560.71,5000,425,7,7,,675,3,3
10011,1,210,11,3,7094.6,17000,182,15,15,1208.25,,,
10011,1,47,11,3,300,300,300,1,1,,,,
10014,1,210,10,2,703,1000,110,3,3,,554.5,2,2
10014,1,210,11,2,869.57,1000,87,7,7,,,,
10014,1,210,12,2,87,87,87,1,1,,87,1,1
10014,1,210,13,2,1159,2222,87,9,9,,925,2,2
10014,1,210,3,2,327,450,87,3,3,,,,
10014,1,210,5,2,3396.59,5000,87,17,17,2383.33,711,4,4
10014,1,210,8,2,450,450,450,1,1,,87,1,1
10014,1,210,9,2,1140,2000,800,5,5,,950,2,2
10014,2,210,10,2,2920,4090,1500,8,8,,895,2,2
10014,2,210,11,2,703.17,1199,500,6,6,,,,
10014,2,210,12,2,675,1000,500,6,6,,500,2,2
10014,2,210,13,2,2297.78,5090,90,9,9,,730,3,3
10014,2,210,3,2,400,400,400,6,6,,,,
10014,2,210,5,2,500,500,500,2,2,,500,2,2
10014,2,210,8,2,525,600,450,2,2,,525,2,2
10014,3,210,10,2,9255.56,20000,400,9,9,,1990,1,1
10014,3,210,12,2,4999,4999,4999,1,1,,,,
10014,3,210,13,2,3774.55,10090,1500,11,11,1890,,,
10014,3,210,3,2,1000,1000,1000,3,3,,,,
10014,3,210,5,2,2000,3000,1000,2,2,,,,
10014,3,210,8,2,1200,1500,1000,10,10,900,,,
10014,3,210,9,2,4475,4800,3500,4,4,,,,
10014,4,210,10,2,30093,30093,30093,1,1,,,,
10015,1,210,17,,297.5,345,240,6,6,,280,3,3
10015,1,210,18,,822.08,1500,200,13,13,300,281.43,7,7
10015,1,210,19,,3917.23,9999,250,22,22,1654,266.67,3,3
10015,1,4,17,,39,39,39,1,1,,,,
10015,1,47,18,,1086,1086,1086,3,3,,,,
10015,2,18,18,,75,75,75,3,3,,,,
10015,2,19,18,,275,275,275,1,1,,,,
10015,2,210,17,,1937.28,40000,150,64,64,528.58,487.31,29,29
10015,2,210,18,,2666.69,45000,99,229,229,641.23,584.22,64,64
10015,2,210,19,,956.34,3000,150,41,41,407.25,305.38,13,13
10015,2,29,18,,444,444,444,1,1,,,,
10015,2,34,18,,80,80,80,1,1,,,,
10015,2,36,18,,198,300,96,2,2,,,,
10015,2,37,18,,96,96,96,1,1,,96,1,1
10015,2,42,18,,105,105,105,1,1,,,,
10015,2,46,18,,300,300,300,1,1,,,,
10015,2,47,18,,861,1111,111,4,4,,,,
10015,2,48,19,,500,500,500,2,2,,,,
10015,2,49,18,,1114,1114,1114,1,1,,,,
10015,2,60,18,,120,120,120,1,1,,,,
10015,3,210,17,,4149.81,25153,999,27,27,1329.3,1144.5,12,12
10015,3,210,18,,5863.55,100000,153,112,112,1315.72,1277.54,50,50
10015,3,210,19,,2580.92,12000,755,12,12,935.82,1025,6,6
10015,3,44,18,,5000,5000,5000,5,5,,,,
10015,3,45,18,,5000,5000,5000,5,5,,,,
10015,3,47,18,,20000,20000,20000,5,5,,,,
10015,4,210,19,,298333.3,555000,160000,3,3,,,,
10017,2,210,11,4,2583.86,3999,90,7,7,,,,
10018,1,210,17,,543.55,750,150,11,11,392.22,214,5,5
10018,2,210,17,,2100,2100,2100,1,1,,,,
10020,1,210,13,4,5357.14,7500,2500,7,7,,1723,2,2
10020,1,39,13,4,120,120,120,1,1,,,,
10020,4,210,13,4,150189,150189,150189,1,1,,,,
10021,1,210,12,4,500,500,500,4,4,,,,
10027,1,210,10,2,2000,2000,2000,2,2,,,,
10027,1,210,3,2,144,144,144,1,1,,,,
10027,2,210,10,2,640.8,651,600,5,5,,,,
10027,2,210,13,2,1881.5,2998,765,2,2,,765,1,1
10027,2,210,8,2,445,445,445,1,1,,,,
10027,3,210,10,2,12952.29,16666,6000,7,7,,,,
10027,3,210,11,2,3030.6,4000,1153,5,5,,2576.5,2,2
10027,3,210,13,2,14250,20000,8500,2,2,,,,
10027,3,210,3,2,4100,4200,4000,2,2,,,,
10028,2,210,3,,6037.3,15000,900,10,10,952.43,,,
10028,2,29,3,,174,174,174,1,1,,,,
10028,2,44,3,,766.67,1000,300,3,3,,,,
10029,2,210,0,,3410,3800,2240,4,4,,,,
10029,2,210,1,,1500,1500,1500,1,1,,,,
10029,2,210,2,,1838.75,5540,240,4,4,,407.5,2,2
10029,3,210,0,,5000,5000,5000,1,1,,,,
10029,3,210,4,,50000,50000,50000,1,1,,,,
10029,4,210,1,,33666,33666,33666,4,4,,,,
1003,2,210,13,4,18995,18995,18995,5,5,,,,
1003,3,210,11,4,100000,100000,100000,1,1,,,,
1003,3,210,13,4,23000,27000,15000,6,6,,,,
1003,3,210,5,4,9688.6,14999,7000,5,5,,,,
1003,3,210,8,4,6293.67,10762,5000,6,6,,,,
1003,4,210,9,4,99999,99999,99999,1,1,,,,
10030,2,210,12,4,500,500,500,1,1,,,,
10031,1,210,10,4,999,999,999,1,1,,,,
10031,1,210,12,4,2595,3969,1221,2,2,,,,
10031,1,210,8,4,144,144,144,1,1,,,,
10031,1,210,9,4,144,144,144,1,1,,,,
10031,2,210,3,4,6375,15000,1700,10,10,2047.5,2900,2,2
10031,2,210,5,4,2959.8,9999,750,5,5,,1100,2,2
10031,2,210,8,4,499,499,499,1,1,,,,
10031,3,210,12,4,3950,5000,800,4,4,,,,
10031,3,210,13,4,1998,1998,1998,3,3,,,,
