item_id,quality,level,trait,variant,avg,max,min,entry_count,amount_count,suggested_price,sale_avg,sale_entry_count,sale_amount_count
1,0,3,-1,6|21,283.35,283.345,283.345,1,200,,,,
10,1,210,11,3,9524.67,17400,4000,3,3,,,,
10,1,210,8,3,1100,1100,1100,1,1,,,,
10,2,210,11,3,1200,1200,1200,1,1,,,,
10,2,210,12,3,1672.5,2111,1234,2,2,,,,
10,2,210,13,3,999,999,999,1,1,,,,
10,2,210,3,3,2244.67,5000,234,3,3,,,,
10,2,210,5,3,1090,2000,180,2,2,,,,
10,2,210,8,3,1300,1300,1300,2,2,,,,
10,3,210,11,3,1800,1800,1800,1,1,,,,
10,3,210,12,3,2000,2000,2000,1,1,,,,
10,3,210,13,3,15000,15000,15000,1,1,,,,
10,3,210,3,3,7500,7500,7500,2,2,,,,
10,3,210,5,3,4998,4998,4998,2,2,,,,
10,3,210,8,3,1249.5,1500,999,2,2,,,,
10001,1,210,18,,434.93,999,144,15,15,214.5,178,7,7
10001,1,38,18,,596,596,596,1,1,,,,
10001,2,210,18,,726.1,2275,150,21,21,427.28,387.33,6,6
10001,2,28,18,,84,84,84,1,1,,,,
10001,3,210,18,,3197.86,8000,800,7,7,,1197.5,2,2
10001,4,210,18,,49166.67,50000,45000,6,6,,,,
10006,1,210,11,4,1499,1499,1499,1,1,,,,
10006,1,210,9,4,174,174,174,1,1,,,,
10006,2,210,11,4,899,899,899,1,1,,,,
10007,3,1,-1,,15281.36,24000,9999,14,14,12233.16,13938.53,15,15
10008,1,210,17,,247.2,347,144,5,5,,162.67,3,3
10008,1,210,18,,542.2,1200,222,15,15,253.8,,,
10008,1,210,19,,421.33,587,144,6,6,,199,1,1
10008,1,47,18,,408,408,408,1,1,,,,
10008,1,9,18,,40,40,40,1,1,,,,
10008,2,18,18,,320,320,320,1,1,,,,
10008,2,210,17,,542.56,2500,150,50,50,359.87,449.44,9,9
10008,2,210,18,,841.12,3912,150,66,66,342.07,276.43,7,7
10008,2,210,19,,750.13,3000,150,24,24,407.61,417.25,8,8
10008,2,210,24,,409.2,1500,150,15,15,157.2,175,8,8
10008,2,36,24,,96,96,96,2,2,,96,1,1
10008,2,47,17,,1111,1111,1111,1,1,,,,
10008,3,210,17,,1679.82,4500,153,17,17,957.99,1202.11,9,9
10008,3,210,18,,2628.82,16000,500,65,65,980.34,1024.7,30,30
10008,3,210,19,,3346.89,10000,700,27,27,1152,1140.73,11,11
10008,3,40,18,,105,105,105,2,2,,105,3,3
10008,4,210,17,,88333.33,255000,5000,3,3,,,,
10008,4,210,18,,80000,155000,5000,2,2,,5000,1,1
1001,2,210,-1,,250.12,500,120,17,17,158.66,180.09,11,11
1001,3,210,-1,,2956.6,3500,775,78,78,2522.03,2277.17,23,23
1001,4,210,-1,,6580.68,40000,3000,221,221,5297.53,6017.15,172,172
